Time,day,Plot,Subplot,Mass_g,tot_C_%,tot_N_%
T0,0,C1,1,50.81,43.69894,2.197777
T0,0,C1,2,52.41,44.50594,1.949159
T0,0,C1,3,48.41,43.68409,2.102376
T0,0,C1,4,50.89,44.53788,2.006863
T0,0,C2,5,47.51,41.68286,2.031441
T0,0,C2,6,51.19,42.2332,2.314648
T0,0,C2,7,51.72,43.05161,2.195489
T0,0,C2,8,48.56,41.98767,1.846601
T0,0,L1,9,48.45,43.55966,2.340652
T0,0,L1,10,49.65,43.80629,2.332589
T0,0,L1,11,51.12,44.11179,2.069446
T0,0,L1,12,49.72,44.63422,2.277445
T0,0,L2,13,50.24,46.81155,2.106789
T0,0,L2,14,50.41,45.878,2.194302
T0,0,L2,15,52.8,45.12159,2.045607
T0,0,L2,16,50.69,45.05422,1.869752
T1,36,C1,1,42.72,42.80826,2.154947
T1,36,C1,2,43.45,43.0243,2.155418
T1,36,C1,3,42.41,43.09075,2.05159
T1,36,C1,4,42.47,42.51343,2.156768
T1,36,C2,5,42.32,40.41467,2.046763
T1,36,C2,6,43.5,41.61147,1.902942
T1,36,C2,7,44.65,41.19697,1.989913
T1,36,C2,8,41.87,40.63301,1.797545
T1,36,L1,9,43.55,40.00765,1.899666
T1,36,L1,10,45.35,42.9749,1.985233
T1,36,L1,11,43.91,41.49054,1.900433
T1,36,L1,12,43.39,41.59148,2.191492
T1,36,L2,13,46.04,41.8449,1.650034
T1,36,L2,14,42.02,43.66743,1.849918
T1,36,L2,15,44.35,42.6625,1.705666
T1,36,L2,16,40.77,43.97663,1.843834
T2,66,C1,1,36.4,42.44015,1.865822
T2,66,C1,2,34.7,43.8805,1.976994
T2,66,C1,3,34.52,42.66607,1.931566
T2,66,C1,4,38.36,41.52356,1.900324
T2,66,C2,5,33.29,40.29613,1.925838
T2,66,C2,6,33.11,39.19931,2.278522
T2,66,C2,7,35.42,36.64397,1.991889
T2,66,C2,8,35.77,38.84283,2.314586
T2,66,L1,9,34.18,41.66502,2.27219
T2,66,L1,10,39.62,42.2439,2.203526
T2,66,L1,11,40.21,40.93286,2.229678
T2,66,L1,12,37.99,41.19501,2.320495
T2,66,L2,13,34.91,40.25187,1.935381
T2,66,L2,14,33.81,42.1456,2.308546
T2,66,L2,15,36.23,42.16122,2.620936
T2,66,L2,16,35.5,45.3604,2.255082
T3,99,C1,1,34.09,42.21112,2.374447
T3,99,C1,2,30.18,41.95578,2.388719
T3,99,C1,3,32.06,42.04089,2.342011
T3,99,C1,4,32.65,42.93423,2.054518
T3,99,C2,5,28.65,40.065,2.062826
T3,99,C2,6,30.92,38.47505,2.213258
T3,99,C2,7,32.82,39.7175,2.286837
T3,99,C2,8,33.38,40.59012,1.932341
T3,99,L1,9,31.42,38.32856,2.276137
T3,99,L1,10,33.61,41.32902,2.225241
T3,99,L1,11,35.78,42.35609,2.214393
T3,99,L1,12,34.14,42.8753,1.901059
T3,99,L2,13,30.92,41.40639,2.201886
T3,99,L2,14,31.11,41.33219,1.88556
T3,99,L2,15,34.22,43.59768,2.046885
T3,99,L2,16,31.03,43.56123,1.938535
T4,125,C1,1,32.8,39.34617,2.00644
T4,125,C1,2,28.94,39.28858,1.968791
T4,125,C1,3,28.06,38.93655,1.926942
T4,125,C1,4,29.98,40.31174,1.772994
T4,125,C2,5,26.31,39.41272,2.123447
T4,125,C2,6,29.68,40.21477,2.008567
T4,125,C2,7,29,40.14893,2.416099
T4,125,C2,8,28.23,40.0532,2.157366
T4,125,L1,9,30.11,42.29263,1.98971
T4,125,L1,10,30.19,41.49925,2.039705
T4,125,L1,11,30.24,41.48098,1.808249
T4,125,L1,12,31.6,40.52767,2.138808
T4,125,L2,13,30.18,40.86819,2.236706
T4,125,L2,14,30.79,40.92703,1.899572
T4,125,L2,15,31.73,42.89964,2.261395
T4,125,L2,16,29.77,39.90503,2.052067
T5,157,C1,1,26.96,43.40403,1.996584
T5,157,C1,2,25.43,42.83334,1.836592
T5,157,C1,3,23.43,39.43916,1.910349
T5,157,C1,4,23.26,40.55087,1.956626
T5,157,C2,5,23.76,43.14753,2.056268
T5,157,C2,6,23.54,41.45908,2.079825
T5,157,C2,7,27.49,41.32277,2.218014
T5,157,C2,8,26.14,41.93811,2.184827
T5,157,L1,9,28.94,40.68953,2.026423
T5,157,L1,10,27.3,40.93758,2.126178
T5,157,L1,11,26.49,39.04086,2.035568
T5,157,L1,12,28.72,41.65201,2.392542
T5,157,L2,13,25.3,38.50389,2.055069
T5,157,L2,14,27.28,38.53309,2.042703
T5,157,L2,15,30.15,38.65448,2.095662
T5,157,L2,16,23.46,37.71328,1.952786
T6,189,C1,1,19.01,40.88583,2.180938
T6,189,C1,2,19.23,42.39674,2.203237
T6,189,C1,3,20.8,40.98811,2.350344
