Time	day	Plot	Subplot	Mass_g	Al_mg_L	Ca_mg_L	Cd_ppb	Co_ppb	Cr_ppb	Cu_ppb	Fe_mg_L	K_mg_L	Mg_mg_L	Mn_mg_L	Na_mg_L	Ni_ppb	P_mg_L	Pb_ppb	S_mg_L	Zn_ppb	tot_C_%	tot_N_%	C_N
T0	0	C1	1	50.81	0.764	17.48395	0	0.8982	2.8745	156.575	0.2655	4.66735	3.852	0.7725	3.0795	7.9335	1.0695	1.0925	1.4655	144.65	43.69894	2.197777	19.88325
T0	0	C1	2	52.41	1.155	16.30395	0	0.697	0.5655	149.575	0.3435	4.92035	2.949	0.4575	2.9745	59.9675	0.9335	0.7875	1.4125	133.15	44.50594	1.949159	22.83341
T0	0	C1	3	48.41	0.936	20.08395	0	0.8811	12.5015	211.375	0.4215	5.13035	4.457	0.9355	2.2165	16.5375	1.1725	2.9005	1.6635	216.45	43.68409	2.102376	20.77844
T0	0	C1	4	50.89	1.101	20.97395	0	0.0753	1.5125	204.375	0.6125	5.00835	4.747	1.5955	2.7875	9.9775	1.8865	3.1445	1.2405	234.65	44.53788	2.006863	22.19278
T0	0	C2	5	47.51	2.735	11.36395	0	0	3.3755	132.375	0.2805	5.82735	4.662	1.4045	3.5335	5.3105	1.6365	2.6265	1.6495	184.65	41.68286	2.031441	20.51886
T0	0	C2	6	51.19	1.297	14.03395	0	0	8.1925	227.575	1.5275	5.77835	4.862	1.9435	3.3455	63.2175	1.9555	4.8485	1.8965	246.95	42.2332	2.314648	18.24606
T0	0	C2	7	51.72	0.578	10.04395	0	0	4.1815	103.575	0.2695	6.33235	4.352	0.8925	6.1345	4.2585	1.2655	3.6585	1.0565	120.05	43.05161	2.195489	19.60912
T0	0	C2	8	48.56	0.564	13.26395	0	0	4.6255	151.375	0.3585	5.24335	3.728	1.1795	3.0345	5.5305	1.3985	2.6395	1.3465	126.95	41.98767	1.846601	22.73781
T0	0	L1	9	48.45	3.023	14.42395	0	0	5.8315	243.275	0.5355	8.32535	1.942	0.3485	4.1855	15.5275	1.6165	6.2625	1.6425	316.15	43.55966	2.340652	18.61005
T0	0	L1	10	49.65	1.149	17.09395	0	6.0625	8.4345	160.575	0.2655	8.05635	2.65	0.4325	3.0085	21.0275	1.5715	2.1265	1.3465	123.15	43.80629	2.332589	18.78012
T0	0	L1	11	51.12	0.72	13.53395	0	0.2403	1.2565	135.475	0.1825	7.30035	2.166	0.2665	2.5185	5.2865	1.4565	4.0575	1.2635	125.35	44.11179	2.069446	21.31575
T0	0	L1	12	49.72	3.362	14.69395	0	0	6.7385	284.675	0.7905	8.65735	2.458	0.2725	2.8045	5.1495	1.5845	4.7255	1.4555	283.05	44.63422	2.277445	19.59837
T0	0	L2	13	50.24	3.671	13.01395	0	0	4.7835	210.675	0.2645	9.44135	2.252	0.1945	4.5595	6.6485	1.4825	2.1755	2.0895	164.85	46.81155	2.106789	22.21938
T0	0	L2	14	50.41	3.654	10.45395	0	0.0662	5.9005	226.675	0.3075	8.75935	2.295	0.1815	4.3365	5.6105	1.2645	3.5235	1.4915	177.15	45.878	2.194302	20.90779
T0	0	L2	15	52.8	2.595	4.50895	0	0	6.1355	234.875	1.1665	3.87235	1.093	0.0725	1.4995	8.9275	0.4895	3.2775	0.7845	285.15	45.12159	2.045607	22.0578
T0	0	L2	16	50.69	0.688	13.56395	0	0	1.3175	219.875	0.4285	9.98435	2.771	0.2455	1.6525	8.5815	1.4885	2.1615	1.5775	196.15	45.05422	1.869752	24.09636
T1	36	C1	1	42.72	1.911	18.51395	0.11025	0.7902	17.4515	59.055	0.2638	1.90335	3.544	1.6195	2.1355	14.0575	1.2955	0	2.1715	68.82	42.80826	2.154947	19.86511
T1	36	C1	2	43.45	0.7268	20.12395	0.09065	0.6347	6.7235	35.255	0.1404	1.92235	3.727	1.7585	2.5185	5.0465	1.4145	0.1525	2.4475	47.98	43.0243	2.155418	19.961
T1	36	C1	3	42.41	0.4583	15.89395	0.01815	1.0185	6.3095	14.095	0	2.04335	2.717	0.9781	3.7735	13.3875	1.1275	0	2.0905	34.03	43.09075	2.05159	21.00359
T1	36	C1	4	42.47	1.331	20.00395	0.08595	0.7487	12.6115	48.965	0.0004	1.77435	3.812	1.6125	1.6015	8.4435	1.5135	0	2.4165	74.34	42.51343	2.156768	19.71164
T1	36	C2	5	42.32	1.611	10.55395	0.01145	0.8667	7.7175	45.525	0.111	1.58935	3.099	1.3375	3.4925	4.7265	1.0365	0	1.6955	47.8	40.41467	2.046763	19.74565
T1	36	C2	6	43.5	0.1752	5.38495	0.15845	0.8381	0.3005	19.325	0	0.79495	1.519	0.5118	1.6715	1.9235	0.3917	0	0.7868	26.41	41.61147	1.902942	21.86691
T1	36	C2	7	44.65	1.137	11.95395	0.06665	1.1605	8.5085	17.965	0.1328	2.46035	3.2	1.4255	1.8075	4.3535	1.0505	0	1.7915	52.66	41.19697	1.989913	20.7029
T1	36	C2	8	41.87	0.8538	9.73995	0.06705	0.7175	8.9915	36.085	0.1057	2.10535	3.066	1.3665	1.8605	7.0615	1.1935	0	1.7285	39.73	40.63301	1.797545	22.60472
T1	36	L1	9	43.55	3.053	10.69395	0.07065	1.0325	8.7295	32.195	0.8038	1.70135	1.337	0.3873	6.4965	3.7395	1.1065	0	1.7675	44.32	40.00765	1.899666	21.06036
T1	36	L1	10	45.35	2.936	14.90395	0	0.6257	12.9015	48.125	0.2929	1.08735	1.294	0.4214	3.5495	5.8485	0.9955	0	2.1975	36.51	42.9749	1.985233	21.64728
T1	36	L1	11	43.91	2.353	9.60495	0.06865	0.8381	6.3685	45.205	0.3731	1.13535	1.017	0.3362	5.2205	3.8805	0.8623	0	1.5865	40.89	41.49054	1.900433	21.83215
T1	36	L1	12	43.39	1.295	13.10395	0.08495	0.7392	9.5815	23.455	0.1264	3.85735	1.822	0.3	0.9665	5.6245	1.1715	0	1.9695	33.88	41.59148	2.191492	18.97861
T1	36	L2	13	46.04	3.74	14.24395	0.07225	1.9975	15.0615	21.325	0.5949	3.06935	2.984	0.2847	3.1445	6.5775	1.1575	0	4.0795	45.97	41.8449	1.650034	25.36002
T1	36	L2	14	42.02	3.231	13.20395	0.04175	0.7686	13.2315	51.085	0.5217	2.31635	2.403	0.2158	2.4435	6.8745	1.0655	0	2.4525	43.11	43.66743	1.849918	23.60506
T1	36	L2	15	44.35	4.01	14.62395	0.03725	1.2055	11.5915	59.015	0.2404	2.99135	3.059	0.2815	1.1115	5.5715	1.0445	0.3015	2.8635	52.33	42.6625	1.705666	25.01222
T1	36	L2	16	40.77	5.58	15.03395	0.06175	1.4725	10.3315	48.835	0.4332	1.31535	2.539	0.2553	3.1545	6.7165	0.9529	0	2.8925	61.89	43.97663	1.843834	23.85065
T2	66	C1	1	36.4	2.833	18.21395	0.04665	1.6225	14.0215	36.655	0.3851	0.70085	2.738	1.6555	0.8683	8.3475	0.7812	0	2.4505	63.83	42.44015	1.865822	22.74609
T2	66	C1	2	34.7	2.859	19.89395	0	1.5975	19.5215	202.875	1.3455	0.82625	3.567	1.8295	1.1475	10.0875	1.2555	6.1735	2.4895	110.05	43.8805	1.976994	22.19557
T2	66	C1	3	34.52	1.697	17.29395	0.03165	1.4985	10.0415	40.835	0.0463	0.46125	2.935	1.5955	1.9265	5.9275	0.5884	0	1.6345	73.32	42.66607	1.931566	22.08885
T2	66	C1	4	38.36	3.953	18.70395	0.14695	1.4735	18.7815	34.075	1.3545	0.64065	3.161	1.6885	2.0425	9.0675	1.0075	0	2.4005	67.95	41.52356	1.900324	21.85078
T2	66	C2	5	33.29	1.539	9.36795	0.01245	1.2655	8.5615	26.945	0.4307	0.48185	2.427	1.3135	1.3925	4.4965	0.554	0	0.8231	35.51	40.29613	1.925838	20.92395
T2	66	C2	6	33.11	0.858	6.31695	0.11275	0.0892	4.3115	35.495	0.071	0.34465	1.656	1.0925	0.5997	2.6145	0.3742	2.0535	1.1035	41.04	39.19931	2.278522	17.20383
T2	66	C2	7	35.42	7.852	10.11395	0.10985	1.1365	8.6865	36.035	1.7985	0.76485	2.36	1.3915	2.4175	6.1555	0.3309	1.9415	1.0935	63.78	36.64397	1.991889	18.39659
T2	66	C2	8	35.77	2.073	6.89195	0.06045	0.3292	2.8465	18.325	0.1572	0.05265	1.486	0.8636	0.2441	2.6355	0.2024	1.1035	0.3817	31.15	38.84283	2.314586	16.78176
T2	66	L1	9	34.18	1.402	10.80395	0.05535	0.4997	6.0225	1.555	0.2913	0.55335	0.933	0.3372	0.6159	4.3235	0.7332	0.6685	2.3555	23	41.66502	2.27219	18.33694
T2	66	L1	10	39.62	5.28	17.30395	0.14985	1.5375	9.0915	22.185	0.5528	0.55385	1.513	0.5588	3.0005	3.7555	0.8441	1.3845	2.8535	61.87	42.2439	2.203526	19.17105
T2	66	L1	11	40.21	5.967	11.70395	0.03035	1.7385	12.5615	11.195	1.5605	0.28615	0.8757	0.3778	1.0035	4.2285	0.7705	1.1675	1.6535	30.8	40.93286	2.229678	18.35819
T2	66	L1	12	37.99	4.84	11.25395	0.25845	1.3275	8.5495	42.935	0.5043	0.33285	0.7674	0.378	3.2435	3.4645	0.4708	3.9885	1.6225	78.49	41.19501	2.320495	17.75268
T2	66	L2	13	34.91	6.816	8.72395	0.04825	1.5815	8.3675	25.135	1.0155	0.03775	1.248	0.1658	3.5625	3.5735	0.4031	0.0025	0.8211	62.48	40.25187	1.935381	20.7979
T2	66	L2	14	33.81	3.005	10.66395	0.46705	1.0075	8.1445	70.815	1.0175	0.30165	1.5	0.198	3.2715	3.2705	0.7235	1.1275	1.8105	62.3	42.1456	2.308546	18.25634
T2	66	L2	15	36.23	1.152	10.63395	0.13785	0.3078	6.4625	30.455	0.1209	0.45725	1.855	0.268	1.5905	3.9705	0.6047	1.0765	1.7375	40.4	42.16122	2.620936	16.08632
T2	66	L2	16	35.5	8.423	16.93395	0	1.7395	19.0515	13.065	1.9075	1.02535	3.334	0.4167	1.5365	7.3385	1.0765	2.0115	2.6615	53.57	45.3604	2.255082	20.11475
T3	99	C1	1	34.09	1.855	16.88395	0.40585	0.3205	10.5015	82.575	0.9505	0.65515	3.59	1.5125	4.2465	6.1865	0.9488	8.2005	1.8295	76.46	42.21112	2.374447	17.77724
T3	99	C1	2	30.18	1.677	17.09395	0.00385	0.417	8.5135	30.385	0.2762	0.71125	3.132	1.6525	1.6105	3.8265	0.6819	5.4845	1.4675	59.81	41.95578	2.388719	17.56413
T3	99	C1	3	32.06	2.211	21.75395	0.08775	0	12.7315	27.985	0.4612	0.88265	4.383	1.9415	2.6995	7.2985	1.2705	8.6995	2.7395	77.17	42.04089	2.342011	17.95077
T3	99	C1	4	32.65	3.079	19.18395	0	0	15.4615	14.295	0.5821	0.73395	3.27	1.7995	0.9175	6.3815	0.8401	6.0725	2.4895	47.89	42.93423	2.054518	20.89747
T3	99	C2	5	28.65	7.417	12.64395	0.02325	1.2995	13.1815	16.975	3.5685	0.65815	3.385	1.7305	1.2235	7.9525	0.8266	5.7365	1.9205	70.51	40.065	2.062826	19.42238
T3	99	C2	6	30.92	3.845	15.20395	0.06945	0.5851	11.9415	43.075	1.5035	0.67265	2.907	2.4045	4.9215	6.5565	0.9975	1.2275	2.3015	67.85	38.47505	2.213258	17.3839
T3	99	C2	7	32.82	3.778	10.77395	0.64825	1.3605	10.7115	28.255	1.7355	0.63435	2.9	1.6235	2.8665	6.1575	0.8397	2.6975	2.0725	75.25	39.7175	2.286837	17.36787
T3	99	C2	8	33.38	2.598	12.75395	0.08975	0.5431	7.0535	27.155	1.0635	0.64745	2.589	1.8825	2.2105	3.6515	0.9447	2.5215	2.5665	62.11	40.59012	1.932341	21.00567136
T3	99	L1	9	31.42	6.213	11.31395	0.02985	0.3771	8.1855	49.365	1.3585	0.04045	0.995	0.3608	3.0575	3.6425	0.642	0.2025	0.8185	64.66	38.32856	2.276137	16.8393
T3	99	L1	10	33.61	4.366	10.57395	0	0.731	6.0165	26.175	1.1645	0.46425	0.8212	0.3622	1.0465	3.4835	0.6753	0.9295	1.5125	37.54	41.32902	2.225241	18.57283
T3	99	L1	11	35.78	1.934	9.05795	0.02985	0.4911	6.7875	51.775	0.7906	0.35395	0.7076	0.3013	2.1345	2.7805	0.5714	0.5115	0.7302	31.05	42.35609	2.214393	19.12763
T3	99	L1	12	34.14	2.751	12.78395	0	2.4255	8.3915	28.315	0.6878	0.31465	1.104	0.4178	2.6095	3.5065	0.7545	0.3545	1.6425	51.57	42.8753	1.901059	22.55338
T3	99	L2	13	30.92	6.581	8.42795	0.04535	1.0955	4.6415	25.105	0.301	0.24445	1.237	0.1333	3.3495	3.3385	0.4111	0	1.6325	31.04	41.40639	2.201886	18.80497
T3	99	L2	14	31.11	9.304	13.64395	0	1.4485	27.1415	83.975	2.2635	0.70165	2.083	0.2465	3.9005	8.6765	0.9267	4.3225	2.6265	80.5	41.33219	1.88556	21.92037
T3	99	L2	15	34.22	3.26	14.16395	0.05565	0.7708	13.0115	38.325	0.5731	0.89555	3.038	0.3014	2.1205	9.2675	0.7705	0.9535	2.3815	42.74	43.59768	2.046885	21.29953
