Plot	CorL	N_change	P_change	K_change	Ca_change	Mg_change	Al_change	Fe_change	Mn_change	Na_change	S_change	N_release	P_release	K_release	Ca_release	Mg_release	Al_release	Fe_release	Mn_release	Na_release	S_release
C1	C	21.03221886	0.51370557	2.308496034	8.458926875	1.892143574	0.251638752	0.105046349	0.3647099	1.467737748	0.699938792	85.84579126	2.096757428	9.422432793	34.52623214	7.723034996	1.027096948	0.428760609	1.488611835	5.99076632	2.856893027
C1	C	17.51609677	0.418419529	2.429888795	7.440128024	1.388180595	0.30149134	0.110773814	0.157408653	1.385036682	0.659293312	71.49427254	1.707834811	9.917913449	30.36786949	5.666043246	1.230576899	0.452138017	0.642484298	5.653210947	2.690993112
C1	C	19.66659231	0.554490136	2.522292347	9.589885819	2.17892863	0.292380732	0.159412124	0.437419159	1.024576947	0.769683227	80.27180534	2.263225046	10.2950708	39.1423911	8.893586247	1.193390743	0.650661729	1.785384324	4.181946722	3.14156419
C1	C	18.80574083	0.912250835	2.479004411	10.10826421	2.338177147	0.30962409	0.247436528	0.767691963	1.339619866	0.597824877	76.75812583	3.723472796	10.11838535	41.25822125	9.543580191	1.263771795	1.009945013	3.133436584	5.467836189	2.44010154
C2	C	19.20440942	0.793162124	2.875689176	5.443765981	2.297793307	1.145839106	0.081474759	0.679862545	1.737332088	0.788632235	78.38534458	3.237396424	11.73750684	22.21945298	9.37874819	4.676894312	0.332550036	2.774949162	7.09115138	3.218907083
C2	C	22.34088779	0.957549512	2.856121562	6.801373252	2.400757765	0.454727121	0.695103474	0.950584851	1.576537752	0.935934567	91.1872971	3.908365354	11.65763903	27.76070715	9.799011286	1.856029064	2.837157036	3.879938166	6.434847965	3.820141091
C2	C	21.17920337	0.613978248	3.143850102	4.718669823	2.14300261	0.15634629	0.091740455	0.416417488	3.005659948	0.502028277	86.44572804	2.506033666	12.83204123	19.25987683	8.746949429	0.638148123	0.374450835	1.699663218	12.26799979	2.049095009
C2	C	17.65424806	0.67890486	2.588058443	6.442313962	1.832863262	0.06628459	0.123664239	0.568028418	1.453605025	0.655978995	72.05815533	2.771040245	10.56350385	26.29515903	7.481074539	0.270549346	0.504751997	2.318483341	5.933081734	2.677465286
L1	L	21.33352312	0.791586987	4.157769045	6.996157384	0.958148958	0.751407695	0.163171079	0.169257884	1.984735449	0.782879639	87.07560456	3.230967292	16.9704859	28.55574442	3.910812072	3.066970185	0.666004402	0.690848508	8.100961016	3.195427097
L1	L	21.38089212	0.728635398	3.995825312	8.183126098	1.303589889	-0.242099488	0.002419553	0.208590866	1.219020191	0.557905388	87.26894742	2.974022032	16.30949107	33.40051468	5.320775058	-0.988161177	0.009875728	0.85139129	4.975592618	2.277164848
L1	L	19.17756426	0.691308294	3.641727572	6.543129196	1.07134644	-0.358188349	-0.078838319	0.126845755	1.149511639	0.560589495	78.27577251	2.821666507	14.86419417	26.70664978	4.372842611	-1.46199326	-0.321789058	0.517737776	4.691884242	2.288120389
L1	L	20.88918584	0.749668313	4.31961344	7.082179862	1.216306456	1.059057174	0.247959998	0.128850151	1.187869519	0.669972295	85.26198304	3.059870663	17.63107527	28.90685658	4.964516148	4.322682342	1.012081625	0.525918983	4.848447018	2.734580795
L2	L	19.74965022	0.710857524	4.709563794	6.211174064	1.106053304	1.315772879	0.061173588	0.092280414	2.189465167	0.997285629	80.61081724	2.901459281	19.22270936	25.35173088	4.514503282	5.370501548	0.249688114	0.376654751	8.936592519	4.070553588
L2	L	20.20445199	0.579593503	4.36745117	4.704255634	1.103943692	0.880013678	0.008042413	0.080671672	1.994834061	0.674631125	82.46715099	2.365687768	17.82633131	19.2010434	4.505892619	3.591892565	0.032826175	0.329272132	8.14217984	2.753596428
L2	L	19.02969667	0.205633333	1.92875625	1.83514375	0.516404167	0.890001968	0.558356623	0.028383333	0.609604167	0.350104167	77.67223129	0.839319728	7.87247449	7.490382653	2.107772109	3.632661094	2.279006623	0.11585034	2.488180272	1.428996599
L2	L	17.59050868	0.710753719	4.986923003	6.415295384	1.357945334	-0.140279768	0.151225054	0.114771474	0.668464589	0.756907299	71.79799461	2.901035586	20.35478777	26.18487912	5.542634018	-0.572570481	0.617245119	0.468454995	2.728426893	3.089417548
